[QUOTE_DATETIME],[QUOTE_DATE],[QUOTE_TIME],[SYMBOL],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRY_TYPE],[DTE],[STRIKE],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[P_LAST],[P_SIZE],[P_BID],[P_ASK]
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4200.0,-103.64,-0.024,0.57393,7e-05,69.58291,-4.69952,7.87788,1.28886,134,2167.46,1 x 6,2021.99,2323.41,-0.42607,7e-05,69.58291,-4.81163,-0.0,1.39628,121,1955.86,9 x 8,1799.76,2125.5
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4210.0,-93.64,-0.022,0.56688,9e-05,69.58291,-3.98018,7.14432,1.09158,122,2165.32,1 x 10,2018.66,2322.64,-0.43312,9e-05,69.58291,-4.09256,-0.0,1.17927,175,1963.46,3 x 10,1807.93,2132.37
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4220.0,-83.64,-0.019,0.55981,0.00011,69.58291,-3.33377,6.40428,0.9143,139,2163.31,6 x 10,2015.46,2322.01,-0.44019,0.00011,69.58291,-3.44642,-0.0,0.98426,150,1971.19,2 x 6,1816.23,2139.38
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4230.0,-73.64,-0.017,0.55272,0.00013,69.58291,-2.76029,5.65803,0.75702,153,2161.43,7 x 10,2012.38,2321.53,-0.44728,0.00013,69.58291,-2.8732,-0.0,0.81125,131,1979.06,1 x 13,1824.67,2146.51
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4240.0,-63.64,-0.015,0.5456,0.00016,69.58291,-2.25973,4.90587,0.61974,129,2159.69,2 x 13,2009.43,2321.19,-0.4544,0.00016,69.58291,-2.37291,-0.0,0.66024,179,1987.06,6 x 18,1833.25,2153.78
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4250.0,-53.64,-0.012,0.53847,0.0002,69.58291,-1.83209,4.14809,0.50246,130,2158.09,6 x 3,2006.6,2321.01,-0.46153,0.0002,69.58291,-1.94554,-0.0,0.53123,138,1995.2,1 x 9,1841.97,2161.17
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4260.0,-43.64,-0.01,0.53132,0.00025,69.58291,-1.47738,3.38497,0.40518,170,2156.62,3 x 20,2003.9,2320.97,-0.46868,0.00025,69.58291,-1.5911,-0.0,0.42422,159,2003.47,9 x 19,1850.83,2168.7
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4270.0,-33.64,-0.008,0.52415,0.00032,69.58291,-1.1956,2.61684,0.3279,149,2155.28,4 x 12,2001.33,2321.08,-0.47585,0.00032,69.58291,-1.30958,-0.0,0.33922,172,2011.88,4 x 10,1859.83,2176.36
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4280.0,-23.64,-0.005,0.51698,0.00039,69.58291,-0.98674,1.84398,0.27062,137,2154.09,8 x 19,1998.89,2321.34,-0.48302,0.00039,69.58291,-1.10099,-0.0,0.27621,139,2020.43,1 x 9,1868.97,2184.16
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4290.0,-13.64,-0.003,0.5098,0.00046,69.58291,-0.85081,1.06673,0.23334,154,2153.03,3 x 10,1996.58,2321.75,-0.4902,0.00046,69.58291,-0.96532,-0.0,0.2352,158,2029.12,6 x 12,1878.26,2192.1
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4300.0,-3.64,-0.001,0.50262,0.0005,69.58291,-0.7878,0.28539,0.21606,161,2152.12,7 x 3,1994.4,2322.31,-0.49738,0.0005,69.58291,-0.90258,-0.0,0.21619,166,2037.94,4 x 4,1887.68,2200.17
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4310.0,6.36,0.001,0.49543,0.0005,69.58291,-0.79771,0.0,0.21878,173,2151.34,8 x 8,1992.36,2323.01,-0.50457,0.0005,69.58291,-0.91276,-0.49972,0.21918,171,2046.91,6 x 8,1897.25,2208.38
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4320.0,16.36,0.004,0.48825,0.00045,69.58291,-0.88055,0.0,0.2415,173,2150.71,2 x 4,1990.45,2323.87,-0.51175,0.00045,69.58291,-0.99587,-1.28826,0.24417,141,2056.02,3 x 2,1906.96,2216.73
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4330.0,26.36,0.006,0.48107,0.00039,69.58291,-1.03632,0.0,0.28421,151,2150.21,2 x 14,1988.67,2324.88,-0.51893,0.00039,69.58291,-1.1519,-2.07992,0.29116,158,2065.27,6 x 8,1916.82,2225.22
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4340.0,36.36,0.008,0.4739,0.00032,69.58291,-1.26501,0.0,0.34693,126,2149.86,6 x 16,1987.02,2326.04,-0.5261,0.00032,69.58291,-1.38086,-2.87436,0.36015,128,2074.65,2 x 12,1926.81,2233.84
2023-10-03 09:30:00,2023-10-03,09:30:00,SPX,4303.64,2023-10-06,Weekly,2.6,4350.0,46.36,0.011,0.46674,0.00026,69.58291,-1.56662,0.0,0.42965,148,2149.64,7 x 15,1985.51,2327.35,-0.53326,0.00026,69.58291,-1.68274,-3.67125,0.45115,136,2084.18,9 x 4,1936.95,2242.61
